teamName,season,rushing_yards,ypc,ypc_over_expected,yards_over_expected,epa,count,aly_mib,freq
Chicago Bears,2014,1255,3.9,-0.55,-177.00874918910333,-0.0527597347788162,321,1.4,1
Chicago Bears,2015,1623,3.9,-0.47,-199.13322214514895,-0.025708992565320665,421,1.8,1
Chicago Bears,2016,1628,4.6,0.27,95.54642366967835,-0.026329087954674223,353,1.4,1
Chicago Bears,2017,1750,4.1,-0.19,-79.71178727918935,-0.06754495944055944,429,1,1
Chicago Bears,2018,1631,4,-0.4,-164.17111812700918,-0.03101641927007299,411,1.5,1
Cincinnati Bengals,2009,1873,4.1,0.02,9.756494916806853,-0.025282948881578948,456,1.3,1
Cincinnati Bengals,2010,1425,3.6,-0.56,-218.46461602626033,-0.10768589139440204,393,1.3,1
Cincinnati Bengals,2011,1649,3.8,-0.28,-120.40629517526159,-0.06007922379814385,431,1.4,1
Cincinnati Bengals,2012,1660,4.1,-0.13,-51.19644237964709,-0.0018968239705882334,408,1.7,1
Cincinnati Bengals,2013,1627,3.8,-0.44,-188.70730681933057,-0.03780494534722222,432,1.6,1
Cincinnati Bengals,2014,2079,4.5,0.3,136.6465015117615,0.031468967987012986,462,1.5,1
Cincinnati Bengals,2015,1525,3.9,-0.24,-94.92003411879128,-0.07540871729113924,395,1.5,1
Cincinnati Bengals,2016,1602,4,-0.27,-108.8690344656333,-0.012769432172839506,405,1.5,1
Cincinnati Bengals,2017,1436,3.7,-0.63,-240.07447096908618,-0.06014081798955614,383,1.3,1
Cincinnati Bengals,2018,1502,4.6,0.25,81.46649979179227,-0.015095937294832827,329,1.1,1
Cleveland Browns,2009,1866,4.2,0.12,54.091815380416165,-0.027013320923423418,444,1.5,1
Cleveland Browns,2010,1634,4,-0.15,-61.1405249887439,-0.06645091138014528,413,1.6,1
Cleveland Browns,2011,1265,3.5,-0.79,-285.74849142627824,-0.1006258072967033,364,1.8,1
Cleveland Browns,2012,1504,3.9,-0.35,-134.40484650110716,-0.02522145520466321,386,1.5,1
Cleveland Browns,2013,1179,3.7,-0.45,-142.1738904348026,-0.055579671603773584,318,1.4,1
Cleveland Browns,2014,1641,3.6,-0.52,-237.38722155659036,-0.06924945092511013,454,1.1,1
Cleveland Browns,2015,1153,3.7,-0.5,-155.66964054815563,-0.11113128641935484,310,1.1,1
Cleveland Browns,2016,1379,4.4,0.08,25.755513257491835,-0.079326195,312,1,1
Cleveland Browns,2017,1574,4.3,0.07,25.71054169036459,-0.009954883305785128,363,1.3,1
Cleveland Browns,2018,1652,4.5,0.23,84.68831911439118,-0.01746306238108108,370,1.1,1
Dallas Cowboys,2009,1823,4.8,0.82,310.4938127250867,0.02682292242592593,378,1.3,1
Dallas Cowboys,2010,1641,4.2,0.24,93.83337486652673,-0.027653423086734696,392,1.4,1
Dallas Cowboys,2011,1798,4.6,0.47,184.29065370990543,-0.04044129220253165,395,1.4,1
Dallas Cowboys,2012,1260,3.6,-0.62,-213.99223105747913,-0.07761361453757225,346,1.4,1
Dallas Cowboys,2013,1459,4.6,0.39,124.69070253026942,0.06495585556962026,316,1.4,1
Dallas Cowboys,2014,2287,4.7,0.41,197.28082554028737,-0.0031413864609053524,486,1.4,1
Dallas Cowboys,2015,1659,4.5,0.15,54.3821823161568,0.006227904143631438,369,1.4,1
Dallas Cowboys,2016,2225,4.9,0.72,324.3639929306007,0.05037640491150443,452,1.4,1
Dallas Cowboys,2017,1973,4.3,0.16,72.62794044202907,0.055496105999999996,460,1.6,1
Dallas Cowboys,2018,1786,4.5,0.26,102.06180054368245,0.052763384217171715,396,1.2,1
Denver Broncos,2009,1708,4.3,0.24,94.97905146841542,-0.05062943355889724,399,1.5,1
Denver Broncos,2010,1370,3.7,-0.48,-175.96032878464922,-0.12279607836956521,368,1.2,1
Denver Broncos,2011,2179,4.6,0.31,147.54892264336291,-0.07516967866807611,473,1.3,1
Denver Broncos,2012,2054,4.1,-0.23,-112.45346583475063,-0.07224706315261044,498,1.5,1
Denver Broncos,2013,1859,4.3,-0.12,-51.97791615765674,0.003963696605080834,433,1.5,1
Denver Broncos,2014,1795,4.3,-0.08,-33.504487035612975,-0.002364559880668255,419,1.4,1
Denver Broncos,2015,1458,4,-0.38,-138.01311528725734,-0.07698738352486188,362,1.3,1
Denver Broncos,2016,1471,4,-0.31,-116.20712972224672,-0.07036453482479785,371,1.3,1
Denver Broncos,2017,1776,4,-0.38,-170.54143419173116,-0.08559903098654709,446,1.6,1
Denver Broncos,2018,1824,4.9,0.67,249.8104868141291,0.04016366013477089,371,1.4,1
Detroit Lions,2009,1297,3.7,-0.58,-202.50239270758053,-0.05596778329431818,352,1.2,1
Detroit Lions,2010,1410,3.8,-0.56,-208.04902737024761,-0.09488269469002696,371,1.1,1
Detroit Lions,2011,1479,4.2,-0.1,-35.4805631682527,-0.01455821235632184,348,1.4,1
Detroit Lions,2012,1583,4.1,-0.26,-98.3934347369397,-0.06157794338743456,382,1.7,1
Detroit Lions,2013,1739,4.1,-0.33,-139.72350925357236,-0.04108620023809524,420,1.3,1
Detroit Lions,2014,1338,3.7,-0.57,-207.08582011849555,-0.06622974684210527,361,1.5,1
Detroit Lions,2015,1096,3.7,-0.72,-216.3971009256531,-0.07007801879598662,299,1.2,1
Detroit Lions,2016,1087,3.5,-0.89,-276.4897642580269,-0.09329812032258064,310,1.2,1
Detroit Lions,2017,1189,3.3,-1.06,-378.34618622792567,-0.1505098955182073,357,1.2,1
Detroit Lions,2018,1571,4.1,-0.08,-29.06246728747073,-0.03516772272965879,381,1.3,1
Green Bay Packers,2009,1447,4.2,0.08,27.604361797935212,0.003949698270893371,347,1.6,1
Green Bay Packers,2010,1296,3.5,-0.66,-243.07164914919645,-0.0552348239083558,371,1.6,1
Green Bay Packers,2011,1263,3.9,-0.28,-89.94577392342408,-0.0845187531775701,321,1.5,1
Green Bay Packers,2012,1537,3.8,-0.57,-230.44438797149948,-0.07189536455223881,402,1.7,1
Green Bay Packers,2013,1906,4.6,0.34,139.53585704981262,0.052261507680487804,410,1.5,1
Green Bay Packers,2014,1667,4.3,-0.02,-8.733874866108113,-0.06340387606217616,386,1.4,1
Green Bay Packers,2015,1444,4,-0.44,-158.36916433886336,-0.07293038933333333,360,1.3,1
Green Bay Packers,2016,1289,4.1,-0.24,-74.49013944683841,-0.08384906033546326,313,1.4,1
Green Bay Packers,2017,1515,4.2,-0.18,-66.62641654649033,0.02088539833795014,361,1.7,1
Green Bay Packers,2018,1329,4.6,0.11,33.07677000823287,0.0258602123183391,289,1.4,1
Houston Texans,2009,1276,3.5,-0.51,-187.39905381251413,-0.11849770321428571,364,1.3,1
Houston Texans,2010,1947,4.9,0.94,373.24711255268613,0.09170465427103275,397,1.4,1
Houston Texans,2011,2491,4.7,0.71,371.623117524785,-0.013880796337760909,527,1.2,1
Houston Texans,2012,2286,4.4,0.34,178.97257126133715,0.0028177655298651226,519,1.3,1
Houston Texans,2013,1655,4.1,-0.14,-55.23292395903061,-0.05450650899255583,403,1.4,1
Houston Texans,2014,1954,3.9,-0.44,-218.38258420615253,-0.07014608171370967,496,1.4,1
Houston Texans,2015,1505,3.7,-0.72,-295.90843251581464,-0.12093634317073171,410,1.5,1
Houston Texans,2016,1831,4.2,-0.16,-67.83755026439941,-0.05726752298165138,436,1.6,1
Houston Texans,2017,1646,3.8,-0.65,-286.30817495471837,-0.05996751004109589,438,1.6,1
Houston Texans,2018,1628,4,-0.23,-94.00132225324921,-0.05017321982673267,404,1.3,1
Indianapolis Colts,2009,1279,3.9,-0.41,-134.6716204514861,0.005943294561933538,331,1.4,1
Indianapolis Colts,2010,1406,3.8,-0.54,-198.8324232976105,-0.02784623814713896,367,1.3,1
Indianapolis Colts,2011,1538,4.2,-0.19,-69.58325964626812,-0.07639867616847826,368,1.5,1
Indianapolis Colts,2012,1484,3.7,-0.6,-242.26657031892339,-0.047606651477832516,406,1.2,1
Indianapolis Colts,2013,1381,4,-0.3,-106.41182981050771,-0.03243317659312321,349,1.4,1
Indianapolis Colts,2014,1347,3.8,-0.47,-168.49481419408949,-0.15696081196918768,357,1.4,1
Indianapolis Colts,2015,1104,3.5,-0.83,-264.3631013613621,-0.16869487755485893,319,1.3,1
Indianapolis Colts,2016,1361,3.9,-0.38,-133.09602786370064,-0.06089049347875354,353,1.8,1
Indianapolis Colts,2017,1493,3.6,-0.76,-319.6354532000394,-0.0735131413842482,419,1.4,1
Indianapolis Colts,2018,1584,4.4,0.13,46.46671668185149,-0.007434966925207759,361,1.4,1
Jacksonville Jaguars,2009,1700,4.5,0.54,202.09507048248702,0.06846841579787234,376,1.5,1
Jacksonville Jaguars,2010,2156,4.7,0.62,283.90291023553027,0.05063978195652174,460,1.6,1
Jacksonville Jaguars,2011,1852,4.1,-0.02,-8.74603867656876,-0.03443783674832962,449,1.4,1
Jacksonville Jaguars,2012,1460,4,-0.29,-106.2193428816783,-0.07966260964383562,365,1.6,1
Jacksonville Jaguars,2013,1172,3.3,-1.03,-366.4524339859765,-0.13217550533707864,356,1.2,1
Jacksonville Jaguars,2014,1394,4.2,-0.23,-76.95632673314111,-0.05379647862686567,335,1.5,1
Jacksonville Jaguars,2015,1185,3.9,-0.34,-104.61734374487632,-0.14063881498360656,305,1.4,1
Jacksonville Jaguars,2016,1176,3.5,-0.95,-318.0503306950106,-0.17317365508982036,334,1.4,1
Jacksonville Jaguars,2017,2223,4.3,0.15,79.56298763384771,-0.01604073315175097,514,1.5,1
Jacksonville Jaguars,2018,1348,3.8,-0.51,-181.08653218410447,-0.07958314512676055,355,1.4,1
Kansas City Chiefs,2009,1420,3.9,-0.38,-138.6121388657087,-0.14469610690410958,365,1.1,1
Kansas City Chiefs,2010,2687,5.1,1,525.2674909157673,0.05775413427480916,524,1.4,1
Kansas City Chiefs,2011,1779,3.9,-0.31,-141.50619058394463,-0.11272453905077263,453,1.4,1
Kansas City Chiefs,2012,2306,4.7,0.32,158.76615613609823,-0.052989047178137655,494,1.2,1
Kansas City Chiefs,2013,1673,4.5,0.39,143.66940117989193,-0.0014355172776280333,371,1.5,1
Kansas City Chiefs,2014,1666,4.5,0.19,72.07683410696663,-8.85725576407503e-4,373,1.4,1
Kansas City Chiefs,2015,1494,4.4,0.19,65.11155325668118,0.005037739317507415,337,1.5,1
Kansas City Chiefs,2016,1629,4.4,0.18,67.24836070357024,-0.04241637115281502,373,1.3,1
Kansas City Chiefs,2017,1677,4.4,0.01,5.138574635449981,-0.026397431428571427,385,1.3,1
Kansas City Chiefs,2018,1652,4.8,0.51,177.9116446546384,0.05368804855907781,347,1.4,1
Los Angeles Chargers,2009,1336,3.5,-0.28,-105.51321996787112,-0.0636258591863517,381,1.5,1
Los Angeles Chargers,2010,1656,4,0.03,13.721521253666948,-0.1008472004527845,413,1.5,1
Los Angeles Chargers,2011,1820,4.5,0.42,169.47542042053064,-7.017393857493871e-4,407,1.5,1
Los Angeles Chargers,2012,1567,3.8,-0.42,-173.003699013471,-0.10015794782725061,411,1.5,1
Los Angeles Chargers,2013,1894,4.2,-0.18,-79.41984945083769,-0.015832794812362033,453,1.8,1
Los Angeles Chargers,2014,1257,3.4,-0.94,-344.4956918844283,-0.09167034884931506,365,1.3,1
Los Angeles Chargers,2015,1226,3.5,-1,-348.5891389773466,-0.1313141565243553,349,1.6,1
Los Angeles Chargers,2016,1451,3.7,-0.45,-172.6085082729625,-0.06170592439276486,387,1.4,1
Los Angeles Chargers,2017,1730,4.1,-0.2,-85.07868132232481,-0.03813939807764706,425,1.2,1
Los Angeles Chargers,2018,1861,4.9,0.63,239.631343099392,0.07774455517150396,379,1.3,1
Los Angeles Rams,2009,1563,4.2,0,1.8324790950880372,-0.07947429293478261,368,1.1,1
Los Angeles Rams,2010,1537,3.7,-0.5,-203.5934515505199,-0.07341592175182482,411,1.2,1
Los Angeles Rams,2011,1531,4,-0.28,-104.51370159709786,-0.12067409038522428,379,1.2,1
Los Angeles Rams,2012,1688,4.2,-0.05,-19.277167977429478,-0.06585688459398496,399,1.4,1
Los Angeles Rams,2013,1672,4.2,0.09,37.23298333066592,-0.06297450559493671,395,1.4,1
Los Angeles Rams,2014,1590,4.2,-0.01,-2.9173931988458133,-0.07783051031746031,378,1.3,1
Los Angeles Rams,2015,1808,4.8,0.46,174.45557989107286,-0.027194462154255316,376,1.2,1
Los Angeles Rams,2016,1285,3.5,-0.8,-291.11396817532847,-0.08266696868406594,364,1.3,1
Los Angeles Rams,2017,1969,4.4,0.05,22.405702821521217,-0.009184956957494408,447,1.2,1
Los Angeles Rams,2018,2133,5.1,0.88,369.2995385956453,0.11483579385167464,418,1.4,1
Miami Dolphins,2009,2100,4.5,0.56,262.42862224380235,0.08196100684468084,470,1.6,1
Miami Dolphins,2010,1591,3.8,-0.38,-159.14891603306506,-0.08498275703614458,415,1.6,1
Miami Dolphins,2011,1778,4.2,0.01,4.314770682463177,-0.07298161308235294,425,1.5,1
Miami Dolphins,2012,1764,4.1,-0.06,-25.725357391050927,-0.0561860334953271,428,1.4,1
Miami Dolphins,2013,1306,4,-0.27,-87.77852087965078,-0.07974890542682928,328,1.5,1
Miami Dolphins,2014,1859,4.9,0.63,237.272301148321,0.009329244760638298,376,1.4,1
Miami Dolphins,2015,1354,4.6,0.13,38.1991749384287,-0.012950175385135137,296,1.2,1
Miami Dolphins,2016,1711,4.4,0.06,23.321355995729974,-0.02542797800511509,391,0.9,1
Miami Dolphins,2017,1422,3.9,-0.59,-214.49497295830707,-0.11434636565934066,364,1.2,1
Miami Dolphins,2018,1641,4.7,0.14,48.541554075933895,-0.05727254691428571,350,1.5,1
Minnesota Vikings,2009,1795,4.3,0.37,152.83705147667143,-0.05792470243855422,415,1.2,1
Minnesota Vikings,2010,1863,4.4,0.29,122.56259198759564,-0.04032716416952381,420,1.4,1
Minnesota Vikings,2011,1927,4.9,0.75,296.5006807610897,0.05907733476070529,397,1.1,1
Minnesota Vikings,2012,2451,5.4,1.35,613.3237495265893,0.025421848918322294,453,1.1,1
