entityName,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,4079324 123,4079324,56511,123,4079324,2015-09-13,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWORLEANS,NO,true,true,31,19,Cardinals,Saints,ARI,NO,1,777,0,0,2,2,40,40,PENALTY,0.569817,-0.0461312,2.91372,-1.16803,1,1,80,900,9,80,314,Touchdown Pass,Offensive Holding on <a href="#" data-tmn-route-type="player" data-tmn-id="2311763">J. Cooper</a> Accepted. 10 yard penalty.,,400791555,,72529,72529,9,80,314,Touchdown Pass,true,,,,,,,,0,2015-09-13 (W1),NO 19 @ ARI 31,1,,,2748
Arizona Cardinals,4079324 1147,4079324,56511,1147,4079324,2015-09-13,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWORLEANS,NO,true,true,31,19,Cardinals,Saints,ARI,NO,2,670,3,13,1,1,1,1,RUSH,0.778009,0.0362497,6.07748,0.418378,5,2,88,847,5,88,184,Touchdown,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2309562">A. Ellington</a> rushes up the middle for 1yard. 1 yards after contact. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2309562">A. Ellington</a>.,,400791555,,60659,60659,5,88,184,Touchdown,true,,,,,,,,1,2015-09-13 (W1),NO 19 @ ARI 31,2,,,2748
Arizona Cardinals,4079324 2453,4079324,56511,2453,4079324,2015-09-13,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWORLEANS,NO,true,true,31,19,Cardinals,Saints,ARI,NO,3,638,13,14,3,5,75,75,PASS,0.557908,-0.0399569,0.24208,-1.18148,11,3,80,721,3,5,101,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> pass incomplete (thrown 7 yards downfield to the mid left) to <a href="#" data-tmn-route-type="player" data-tmn-id="2318712">J. Brown</a>.,,400791555,,78923,78923,3,5,101,Punt,true,,,,,,,,0,2015-09-13 (W1),NO 19 @ ARI 31,3,,,2748
Arizona Cardinals,4079324 2780,4079324,56511,2780,4079324,2015-09-13,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWORLEANS,NO,true,true,31,19,Cardinals,Saints,ARI,NO,3,340,13,14,1,10,56,56,PASS,0.638105,-0.03722,2.03615,-0.450644,13,3,70,424,5,32,106,Fumble,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> pass incomplete (thrown 31 yards downfield to the far right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2079760">L. Fitzgerald</a>.,,400791555,,79683,79683,5,32,106,Fumble,true,,,,,,,,0,2015-09-13 (W1),NO 19 @ ARI 31,3,,,2748
Arizona Cardinals,4079324 3415,4079324,56511,3415,4079324,2015-09-13,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWORLEANS,NO,true,true,31,19,Cardinals,Saints,ARI,NO,4,744,16,17,1,10,80,80,PENALTY,0.615675,0.0156796,0.712681,0.268674,17,4,80,744,5,80,156,Touchdown Pass,Defensive Holding on <a href="#" data-tmn-route-type="player" data-tmn-id="2267296">D. Breaux</a> Accepted. 5 yard penalty and first down.,,400791555,,81281,81281,5,80,156,Touchdown Pass,true,,,,,,,,0,2015-09-13 (W1),NO 19 @ ARI 31,4,,,2748
Arizona Cardinals,4079324 3587,4079324,56511,3587,4079324,2015-09-13,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWORLEANS,NO,true,true,31,19,Cardinals,Saints,ARI,NO,4,594,16,23,2,5,17,17,PASS,0.800841,0.0911188,4.1389,2.25642,17,4,80,744,5,80,156,Touchdown Pass,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> pass complete (thrown 16 yards downfield to the far right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2168179">D. Fells</a> for 17 yards. 1 yards after the catch. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2168179">D. Fells</a>.,,400791555,,81581,81581,5,80,156,Touchdown Pass,true,,,,,,,,17,2015-09-13 (W1),NO 19 @ ARI 31,4,,,2748
Arizona Cardinals,4079324 3880,4079324,56511,3880,4079324,2015-09-13,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWORLEANS,NO,true,true,31,19,Cardinals,Saints,ARI,NO,4,322,19,24,1,10,65,65,RUSH,0.88206,-0.0198167,1.45367,-0.31277,19,4,80,405,7,42,273,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes outside the left tackle for 2 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2509488">H. Kikaha</a>.,,400791555,,82514,82514,7,42,273,Punt,true,,,,,,,,2,2015-09-13 (W1),NO 19 @ ARI 31,4,,,2748
Arizona Cardinals,4079375 1353,4079375,56546,1353,4079375,2015-09-27,3,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,true,true,47,7,Cardinals,49ers,ARI,SF,2,520,0,21,1,1,1,1,PASS,0.988526,-0.000228778,6.09309,-0.33057,7,2,81,713,9,81,244,Touchdown,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> pass incomplete (thrown 1 yard downfield to the far right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2219189">J. Gresham</a>.,,400791597,,75519,75519,9,81,244,Touchdown,true,,,,,,,,0,2015-09-27 (W3),SF 7 @ ARI 47,2,,,2748
Arizona Cardinals,4079375 1379,4079375,56546,1379,4079375,2015-09-27,3,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,true,true,47,7,Cardinals,49ers,ARI,SF,2,514,0,21,2,1,1,1,RUSH,0.988297,-0.000438054,5.76252,-0.569935,7,2,81,713,9,81,244,Touchdown,<a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes up the middle for 0 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2156209">G. Dorsey</a>.,,400791597,,75555,75555,9,81,244,Touchdown,true,,,,,,,,0,2015-09-27 (W3),SF 7 @ ARI 47,2,,,2748
Arizona Cardinals,4079375 1400,4079375,56546,1400,4079375,2015-09-27,3,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,true,true,47,7,Cardinals,49ers,ARI,SF,2,475,0,27,3,1,1,1,RUSH,0.987859,0.00542808,5.19258,1.28137,7,2,81,713,9,81,244,Touchdown,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes up the middle for 1yard. 1 yards after contact. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a>.,,400791597,,75595,75595,9,81,244,Touchdown,true,,,,,,,,1,2015-09-27 (W3),SF 7 @ ARI 47,2,,,2748
