entityName,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,3709508 317,3709508,54486,317,3709508,2009-09-20,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,JACKSONVIL,JAC,false,true,31,17,Cardinals,Jaguars,ARI,JAC,1,490,6,0,1,1,1,1,RUSH,0.646213,0.0302304,5.87868,0.597304,1,1,75,900,11,75,413,Touchdown,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a> rushes outside the right tackle for 1yard. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a>.,,400298230,,62016,62016,11,75,413,Touchdown,true,,,,,,,,1,2009-09-20 (W2),ARI 31 @ JAC 17,1,,,4742
Arizona Cardinals,3709508 1504,3709508,54486,1504,3709508,2009-09-20,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,JACKSONVIL,JAC,false,true,31,17,Cardinals,Jaguars,ARI,JAC,2,309,17,3,4,1,44,44,PASS,0.912479,0.0181312,0.386445,2.20834,7,2,71,502,7,41,232,Fumble,<a href="#" data-tmn-route-type="player" data-tmn-id="1869454">K. Warner</a> pass complete (thrown 1 yards behind the line of scrimmage to the far right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a> for 3 yards. 4 yards after the catch. 2 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="1946451">D. Smith</a>.,,400298230,,65250,65250,7,41,232,Fumble,true,,,,,,,,3,2009-09-20 (W2),ARI 31 @ JAC 17,2,,,4742
Arizona Cardinals,3709508 2150,3709508,54486,2150,3709508,2009-09-20,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,JACKSONVIL,JAC,false,true,31,17,Cardinals,Jaguars,ARI,JAC,2,10,24,3,1,10,83,83,RUSH,0.981598,0.00129532,-0.00410599,0.00410599,11,2,83,10,1,-1,10,Halftime,Kneel by <a href="#" data-tmn-route-type="player" data-tmn-id="1869454">K. Warner</a>.,,400298230,,66951,66951,1,-1,10,Halftime,true,,,,,,,,-1,2009-09-20 (W2),ARI 31 @ JAC 17,2,,,4742
Arizona Cardinals,3709508 2383,3709508,54486,2383,3709508,2009-09-20,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,JACKSONVIL,JAC,false,true,31,17,Cardinals,Jaguars,ARI,JAC,3,689,24,3,1,10,29,29,RUSH,0.993663,-0.000267527,3.30736,-0.369453,13,3,68,804,7,38,194,Missed Field Goal,<a href="#" data-tmn-route-type="player" data-tmn-id="2222196">B. Wells</a> rushes towards the left guard for 1yard. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2132957">J. Durant</a>.,,400298230,,68316,68316,7,38,194,Missed Field Goal,true,,,,,,,,1,2009-09-20 (W2),ARI 31 @ JAC 17,3,,,4742
Arizona Cardinals,3709508 4016,3709508,54486,4016,3709508,2009-09-20,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,JACKSONVIL,JAC,false,true,31,17,Cardinals,Jaguars,ARI,JAC,4,251,31,17,2,2,44,44,RUSH,0.999327,-0.0000500317,2.27148,-0.365194,21,4,69,269,4,21,91,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a> rushes towards the right guard for 1yard. 2 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="1946451">D. Smith</a>.,,400298230,,72191,72191,4,21,91,Punt,true,,,,,,,,1,2009-09-20 (W2),ARI 31 @ JAC 17,4,,,4742
Arizona Cardinals,3709508 4082,3709508,54486,4082,3709508,2009-09-20,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,JACKSONVIL,JAC,false,true,31,17,Cardinals,Jaguars,ARI,JAC,4,235,31,17,3,1,43,43,RUSH,0.999277,-0.00162476,1.90628,-1.76549,21,4,69,269,4,21,91,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a> rushes outside the right tackle for 0 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2080102">D. Landri</a>.,,400298230,,72367,72367,4,21,91,Punt,true,,,,,,,,0,2009-09-20 (W2),ARI 31 @ JAC 17,4,,,4742
Arizona Cardinals,3709508 4252,3709508,54486,4252,3709508,2009-09-20,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,JACKSONVIL,JAC,false,true,31,17,Cardinals,Jaguars,ARI,JAC,4,145,31,17,1,10,41,41,RUSH,0.99927,0.000729947,1.75836,0.826401,23,4,41,145,4,11,145,End of Game,<a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a> rushes outside the right tackle for 14 yards. 3 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="1946451">D. Smith</a>.,,400298230,,72678,72678,4,11,145,End of Game,true,,,,,,,,14,2009-09-20 (W2),ARI 31 @ JAC 17,4,,,4742
Arizona Cardinals,3709670 2211,3709670,54502,2211,3709670,2009-09-27,3,,8801,Arizona Cardinals,ARIZONA,REG,,true,INDIANAPOL,IND,true,false,10,31,Cardinals,Colts,ARI,IND,2,29,21,3,1,1,1,1,PASS,0.0911339,-0.0535075,2.97898,-2.90833,14,2,80,112,8,79,92,Interception,<a href="#" data-tmn-route-type="player" data-tmn-id="1869454">K. Warner</a> pass (thrown 1 yard downfield to the mid right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2079760">L. Fitzgerald</a> intercepted by <a href="#" data-tmn-route-type="player" data-tmn-id="2096320">A. Bethea</a>.,,400298326,,6889,6889,8,79,92,Interception,true,,,,,,,,0,2009-09-27 (W3),IND 31 @ ARI 10,2,,,4742
Arizona Cardinals,3709627 312,3709627,54538,312,3709627,2009-10-11,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,HOUSTON,HOU,true,true,28,21,Cardinals,Texans,ARI,HOU,1,609,0,0,1,3,3,3,RUSH,0.678988,0.00339039,5.39245,0.154789,2,1,64,824,8,64,255,Touchdown,<a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a> rushes up the middle for 2 yards. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2088900">A. Smith</a>.,,400298318,,73503,73503,8,64,255,Touchdown,true,,,,,,,,2,2009-10-11 (W5),HOU 21 @ ARI 28,1,,,4742
Arizona Cardinals,3709627 333,3709627,54538,333,3709627,2009-10-11,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,HOUSTON,HOU,true,true,28,21,Cardinals,Texans,ARI,HOU,1,572,0,6,2,1,1,1,RUSH,0.682379,0.0327177,5.54724,0.928819,2,1,64,824,8,64,255,Touchdown,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a> rushes towards the right guard for 1yard. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2158865">T. Hightower</a>.,,400298318,,73539,73539,8,64,255,Touchdown,true,,,,,,,,1,2009-10-11 (W5),HOU 21 @ ARI 28,1,,,4742
