entityName,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,4132048 505,4132048,56914,505,4132048,2016-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWENGLAND,NE,true,false,21,23,Cardinals,Patriots,ARI,NE,1,449,7,0,1,10,89,89,PASS,0.274887,0.0509154,0.14403,2.13031,3,1,89,454,4,42,82,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> pass complete (thrown 32 yards downfield to the far left) to <a href="#" data-tmn-route-type="player" data-tmn-id="2313797">M. Floyd</a> for 39 yards. 7 yards after the catch.,,400874539,,3129,3129,4,42,82,Punt,true,,,,,,,,39,2016-09-11 (W1),NE 23 @ ARI 21,1,,,2621
Arizona Cardinals,4132048 1587,4132048,56914,1587,4132048,2016-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWENGLAND,NE,true,false,21,23,Cardinals,Patriots,ARI,NE,2,295,10,0,3,1,6,6,RUSH,0.295582,0.00791821,4.8931,0.743758,7,2,54,626,11,54,380,Touchdown Pass,<a href="#" data-tmn-route-type="player" data-tmn-id="2508176">D. Johnson</a> rushes up the middle for 3 yards. 2 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2186446">D. McCourty</a>.,,400874539,,5602,5602,11,54,380,Touchdown Pass,true,,,,,,,,3,2016-09-11 (W1),NE 23 @ ARI 21,2,,,2621
Arizona Cardinals,4132048 2453,4132048,56914,2453,4132048,2016-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWENGLAND,NE,true,false,21,23,Cardinals,Patriots,ARI,NE,3,525,17,7,3,1,66,66,RUSH,0.153618,-0.00347661,1.19842,0.240793,13,3,75,600,6,8,179,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> rushes up the middle for 1yard. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2186446">D. McCourty</a>.,,400874539,,8438,8438,6,8,179,Punt,true,,,,,,,,1,2016-09-11 (W1),NE 23 @ ARI 21,3,,,2621
Arizona Cardinals,4132048 2733,4132048,56914,2733,4132048,2016-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,NEWENGLAND,NE,true,false,21,23,Cardinals,Patriots,ARI,NE,3,273,17,13,2,1,1,1,RUSH,0.282565,0.0375796,5.77691,0.688151,15,3,33,380,5,33,111,Touchdown,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2508176">D. Johnson</a> rushes towards the left guard for 1yard. 0 yards after contact. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2508176">D. Johnson</a>. Defensive 12 On-field on <a href="#" data-tmn-route-type="player" data-tmn-id="2990496">M. Butler</a> Declined.,,400874539,,,,5,33,111,Touchdown,true,,,,,,,,1,2016-09-11 (W1),NE 23 @ ARI 21,3,,,2621
Arizona Cardinals,4132011 3453,4132011,56926,3453,4132011,2016-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,TAMPABAY,TB,true,true,40,7,Cardinals,Buccaneers,ARI,TB,4,773,7,33,1,5,5,5,RUSH,0.99905,-8.39e-8,5.33422,-0.0571188,19,3,65,118,8,65,287,Touchdown,<a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes towards the right guard for 2 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2266513">K. Tandy</a>.,,400874515,,81438,81438,8,65,287,Touchdown,true,,,,,,,,2,2016-09-18 (W2),TB 7 @ ARI 40,4,,,2621
Arizona Cardinals,4132011 3474,4132011,56926,3474,4132011,2016-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,TAMPABAY,TB,true,true,40,7,Cardinals,Buccaneers,ARI,TB,4,735,7,39,2,3,3,3,RUSH,0.99905,3.652e-7,5.2771,1.17543,19,3,65,118,8,65,287,Touchdown,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes towards the right guard for 3 yards. 1 yards after contact. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a>.,,400874515,,81476,81476,8,65,287,Touchdown,true,,,,,,,,3,2016-09-18 (W2),TB 7 @ ARI 40,4,,,2621
Arizona Cardinals,4132011 3729,4132011,56926,3729,4132011,2016-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,TAMPABAY,TB,true,true,40,7,Cardinals,Buccaneers,ARI,TB,4,544,7,40,2,7,77,77,PASS,0.999011,-0.0000207905,0.523665,-0.577764,21,4,80,582,3,3,60,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2081496">D. Stanton</a> pass incomplete (thrown 0 yards downfield to the mid right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2579853">T. Niklas</a>.,,400874515,,82302,82302,3,3,60,Punt,true,,,,,,,,0,2016-09-18 (W2),TB 7 @ ARI 40,4,,,2621
Arizona Cardinals,4132011 3961,4132011,56926,3961,4132011,2016-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,TAMPABAY,TB,true,true,40,7,Cardinals,Buccaneers,ARI,TB,4,455,7,40,1,10,82,82,RUSH,0.99905,0.0000453492,0.562922,0.0973189,23,4,82,455,6,22,227,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes outside the right tackle for 5 yards. 2 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2262090">B. Grimes</a>. Assist by <a href="#" data-tmn-route-type="player" data-tmn-id="2976541">K. Alexander</a>.,,400874515,,82802,82802,6,22,227,Punt,true,,,,,,,,5,2016-09-18 (W2),TB 7 @ ARI 40,4,,,2621
Arizona Cardinals,4132011 4027,4132011,56926,4027,4132011,2016-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,TAMPABAY,TB,true,true,40,7,Cardinals,Buccaneers,ARI,TB,4,327,7,40,1,10,64,64,RUSH,1,-0.000525421,1.55909,-0.523629,23,4,82,455,6,22,227,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes towards the right guard for -1 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2976541">K. Alexander</a>.,,400874515,,82947,82947,6,22,227,Punt,true,,,,,,,,-1,2016-09-18 (W2),TB 7 @ ARI 40,4,,,2621
Arizona Cardinals,4132078 3677,4132078,56934,3677,4132078,2016-09-25,3,,8801,Arizona Cardinals,ARIZONA,REG,,true,BUFFALO,BUF,false,false,18,33,Cardinals,Bills,ARI,BUF,3,12,13,30,,,2,2,TWOPOINTCONV,0.0119708,-0.00395678,0.9456,-0.9456,17,3,83,145,6,83,133,Touchdown,Two Point Conversion Failed. Pass by <a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> to <a href="#" data-tmn-route-type="player" data-tmn-id="2309560">J. Brown</a>.,,400874558,,69832,69832,6,83,133,Touchdown,true,,,,,,,,,2016-09-25 (W3),ARI 18 @ BUF 33,3,,,2621
