entityName,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,4041845 1513,4041845,56185,1513,4041845,2014-09-08,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANDIEGO,SD,true,true,18,17,Cardinals,Chargers,ARI,SD,2,535,0,3,2,8,65,65,PASS,0.621955,-0.0223415,1.06426,-1.11557,9,2,67,569,3,7,131,Blocked Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> sacked for a loss of 6 yards by <a href="#" data-tmn-route-type="player" data-tmn-id="2313326">C. Liuget</a>. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2313326">C. Liuget</a>.,,400554301,,12247,12247,3,7,131,Blocked Punt,true,,,,,,,,-6,2014-09-08 (W1),SD 17 @ ARI 18,2,,,2599
Arizona Cardinals,4041845 3279,4041845,56185,3279,4041845,2014-09-08,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANDIEGO,SD,true,true,18,17,Cardinals,Chargers,ARI,SD,4,763,17,6,2,5,5,5,PASS,0.177609,-0.0290966,4.92615,-0.683454,19,3,64,133,10,64,283,Touchdown Pass,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> pass incomplete (thrown 5 yards downfield to the far right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2079760">L. Fitzgerald</a>.,,400554301,,17290,17290,10,64,283,Touchdown Pass,true,,,,,,,,0,2014-09-08 (W1),SD 17 @ ARI 18,4,,,2599
Arizona Cardinals,4041845 3940,4041845,56185,3940,4041845,2014-09-08,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANDIEGO,SD,true,true,18,17,Cardinals,Chargers,ARI,SD,4,145,17,18,,,2,2,TWOPOINTCONV,0.691839,-0.058939,0.9456,-0.9456,21,4,91,410,11,91,265,Touchdown Pass,Two Point Conversion Failed. Pass by <a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> to <a href="#" data-tmn-route-type="player" data-tmn-id="2079760">L. Fitzgerald</a>.,,400554301,,18867,18867,11,91,265,Touchdown Pass,true,,,,,,,,,2014-09-08 (W1),SD 17 @ ARI 18,4,,,2599
Arizona Cardinals,4041845 4144,4041845,56185,4144,4041845,2014-09-08,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANDIEGO,SD,true,true,18,17,Cardinals,Chargers,ARI,SD,4,109,17,18,1,10,40,40,RUSH,0.95331,0.00472342,1.82979,-0.237004,23,4,40,109,4,11,109,End of Game,<a href="#" data-tmn-route-type="player" data-tmn-id="2266347">J. Dwyer</a> rushes up the middle for 2 yards. 2 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2579862">M. Te'o</a>.,,400554301,,19526,19526,4,11,109,End of Game,true,,,,,,,,2,2014-09-08 (W1),SD 17 @ ARI 18,4,,,2599
Arizona Cardinals,4041845 4182,4041845,56185,4182,4041845,2014-09-08,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANDIEGO,SD,true,true,18,17,Cardinals,Chargers,ARI,SD,4,103,17,18,2,8,38,38,RUSH,0.958034,-0.00216685,1.59278,-0.181633,23,4,40,109,4,11,109,End of Game,<a href="#" data-tmn-route-type="player" data-tmn-id="2266347">J. Dwyer</a> rushes outside the right tackle for 3 yards. 3 yards after contact. Assist by <a href="#" data-tmn-route-type="player" data-tmn-id="2155065">B. Flowers</a>. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2220413">S. Wright</a>.,,400554301,,19584,19584,4,11,109,End of Game,true,,,,,,,,3,2014-09-08 (W1),SD 17 @ ARI 18,4,,,2599
Arizona Cardinals,4041845 4203,4041845,56185,4203,4041845,2014-09-08,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANDIEGO,SD,true,true,18,17,Cardinals,Chargers,ARI,SD,4,56,17,18,3,5,35,35,RUSH,0.955867,0.044133,1.41115,0.567582,23,4,40,109,4,11,109,End of Game,<a href="#" data-tmn-route-type="player" data-tmn-id="2266347">J. Dwyer</a> rushes up the middle for 7 yards. 2 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2225182">D. Butler</a>.,,400554301,,19632,19632,4,11,109,End of Game,true,,,,,,,,7,2014-09-08 (W1),SD 17 @ ARI 18,4,,,2599
Arizona Cardinals,4041845 4224,4041845,56185,4224,4041845,2014-09-08,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANDIEGO,SD,true,true,18,17,Cardinals,Chargers,ARI,SD,4,12,17,18,1,10,28,28,RUSH,1,0,1.97873,-1.97873,23,4,40,109,4,11,109,End of Game,Kneel by <a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a>. 0 yards after contact.,,400554301,,19676,19676,4,11,109,End of Game,true,,,,,,,,-1,2014-09-08 (W1),SD 17 @ ARI 18,4,,,2599
Arizona Cardinals,4041774 105,4041774,56192,105,4041774,2014-09-14,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,NYGIANTS,NYG,false,true,25,14,Cardinals,Giants,ARI,NYG,1,863,0,0,2,10,61,61,RUSH,0.514226,-0.00553279,1.18388,-0.586258,1,1,80,900,11,80,282,Touchdown,<a href="#" data-tmn-route-type="player" data-tmn-id="2266347">J. Dwyer</a> rushes towards the left guard for 0 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2465471">J. Williams</a>. Assist by <a href="#" data-tmn-route-type="player" data-tmn-id="2515516">J. Hankins</a>.,,400554211,,61570,61570,11,80,282,Touchdown,true,,,,,,,,0,2014-09-14 (W2),ARI 25 @ NYG 14,1,,,2599
Arizona Cardinals,4041774 196,4041774,56192,196,4041774,2014-09-14,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,NYGIANTS,NYG,false,true,25,14,Cardinals,Giants,ARI,NYG,1,733,0,0,2,10,22,22,PASS,0.574773,-0.0292408,3.5032,-1.31126,1,1,80,900,11,80,282,Touchdown,<a href="#" data-tmn-route-type="player" data-tmn-id="2081496">D. Stanton</a> sacked for a loss of 7 yards by <a href="#" data-tmn-route-type="player" data-tmn-id="2465476">J. Pierre-Paul</a>. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2465476">J. Pierre-Paul</a>.,,400554211,,61732,61732,11,80,282,Touchdown,true,,,,,,,,-7,2014-09-14 (W2),ARI 25 @ NYG 14,1,,,2599
Arizona Cardinals,4041774 392,4041774,56192,392,4041774,2014-09-14,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,NYGIANTS,NYG,false,true,25,14,Cardinals,Giants,ARI,NYG,1,634,6,0,3,1,1,1,RUSH,0.623125,0.0511691,5.17526,1.39182,1,1,80,900,11,80,282,Touchdown,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2266347">J. Dwyer</a> rushes up the middle for 1yard. 1 yards after contact. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="2266347">J. Dwyer</a>.,,400554211,,62291,62291,11,80,282,Touchdown,true,,,,,,,,1,2014-09-14 (W2),ARI 25 @ NYG 14,1,,,2599
