entityName,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,3823527 1509,3823527,55173,1509,3823527,2011-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,CAROLINA,CAR,true,true,28,21,Cardinals,Panthers,ARI,CAR,2,434,7,7,2,4,4,4,RUSH,0.687927,-0.170528,4.81755,-4.94327,8,2,80,730,9,68,302,Fumble,<a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a> rushes for 0 yards. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a>. Fumble Lost by <a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a>.,,400298925,,76574,76574,9,68,302,Fumble,true,,,,,,,,0,2011-09-11 (W1),CAR 21 @ ARI 28,2,,,3840
Arizona Cardinals,3823527 2573,3823527,55173,2573,3823527,2011-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,CAROLINA,CAR,true,true,28,21,Cardinals,Panthers,ARI,CAR,3,652,14,13,1,10,48,48,PASS,0.291197,0.17973,2.22365,4.30627,15,3,48,652,1,48,12,Touchdown Pass,Touchdown Arizona Cardinals - <a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a> pass complete (thrown 16 yards downfield to the far right) to <a href="#" data-tmn-route-type="player" data-tmn-id="1966466">J. King</a> for 48 yards. 32 yards after the catch. Touchdown <a href="#" data-tmn-route-type="player" data-tmn-id="1966466">J. King</a>.,,400298925,,79765,79765,1,48,12,Touchdown Pass,true,,,,,,,,48,2011-09-11 (W1),CAR 21 @ ARI 28,3,,,3840
Arizona Cardinals,3823527 4073,3823527,55173,4073,3823527,2011-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,CAROLINA,CAR,true,true,28,21,Cardinals,Panthers,ARI,CAR,4,164,21,28,2,8,49,49,RUSH,0.958127,0.00464002,1.35756,-0.490411,22,4,89,301,6,42,161,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2222196">B. Wells</a> rushes outside the left tackle for 2 yards. 2 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2156323">S. Martin</a>.,,400298925,,83448,83448,6,42,161,Punt,true,,,,,,,,2,2011-09-11 (W1),CAR 21 @ ARI 28,4,,,3840
Arizona Cardinals,3823527 4429,3823527,55173,4429,3823527,2011-09-11,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,CAROLINA,CAR,true,true,28,21,Cardinals,Panthers,ARI,CAR,4,74,21,28,1,10,98,98,RUSH,1,0,-0.381648,-0.244661,24,4,98,74,3,-1,74,End of Game,<a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a> rushes up the middle for 1yard. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2220951">G. Hardy</a>.,,400298925,,84185,84185,3,-1,74,End of Game,true,,,,,,,,1,2011-09-11 (W1),CAR 21 @ ARI 28,4,,,3840
Arizona Cardinals,3823600 395,3823600,55189,395,3823600,2011-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,false,false,21,22,Cardinals,Redskins,ARI,WSH,1,567,0,0,1,10,67,67,RUSH,0.562058,-0.00202537,1.21168,-0.250244,2,1,81,604,4,16,88,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2222196">B. Wells</a> rushes outside the left tackle for 2 yards. 0 yards after contact.,,400298901,,62122,62122,4,16,88,Punt,true,,,,,,,,2,2011-09-18 (W2),ARI 21 @ WSH 22,1,,,3840
Arizona Cardinals,3823600 1140,3823600,55189,1140,3823600,2011-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,false,false,21,22,Cardinals,Redskins,ARI,WSH,2,625,7,3,1,10,80,80,PASS,0.680027,0.0100142,0.562809,0.0815864,6,2,80,625,8,29,264,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a> pass complete (thrown 4 yards downfield to the mid left) to <a href="#" data-tmn-route-type="player" data-tmn-id="2079760">L. Fitzgerald</a> for 5 yards. 1 yards after the catch. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="1966455">D. Hall</a>.,,400298901,,64300,64300,8,29,264,Punt,true,,,,,,,,5,2011-09-18 (W2),ARI 21 @ WSH 22,2,,,3840
Arizona Cardinals,3823600 1308,3823600,55189,1308,3823600,2011-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,false,false,21,22,Cardinals,Redskins,ARI,WSH,2,373,7,3,3,15,51,51,PASS,0.704673,-0.00621746,0.906905,-1.02277,6,2,80,625,8,29,264,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a> pass incomplete (thrown 0 yards downfield to the far left) to <a href="#" data-tmn-route-type="player" data-tmn-id="2222385">A. Roberts</a>.,,400298901,,64602,64602,8,29,264,Punt,true,,,,,,,,0,2011-09-18 (W2),ARI 21 @ WSH 22,2,,,3840
Arizona Cardinals,3823600 2133,3823600,55189,2133,3823600,2011-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,false,false,21,22,Cardinals,Redskins,ARI,WSH,3,867,7,10,2,1,51,51,PASS,0.445202,-0.00963544,2.34657,-0.122929,12,3,60,900,10,36,334,Interception,<a href="#" data-tmn-route-type="player" data-tmn-id="2131954">K. Kolb</a> pass complete (thrown 1 yard downfield to the far left) to <a href="#" data-tmn-route-type="player" data-tmn-id="2079760">L. Fitzgerald</a> for 3 yards. 2 yards after the catch. 0 yards after contact.,,400298901,,67414,67414,10,36,334,Interception,true,,,,,,,,3,2011-09-18 (W2),ARI 21 @ WSH 22,3,,,3840
Arizona Cardinals,3823600 2297,3823600,55189,2297,3823600,2011-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,false,false,21,22,Cardinals,Redskins,ARI,WSH,3,656,7,10,3,1,17,17,RUSH,0.556837,-0.0172373,3.75968,0.301312,12,3,60,900,10,36,334,Interception,<a href="#" data-tmn-route-type="player" data-tmn-id="2222196">B. Wells</a> rushes up the middle for 1yard. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="1869464">L. Fletcher</a>.,,400298901,,68028,68028,10,36,334,Interception,true,,,,,,,,1,2011-09-18 (W2),ARI 21 @ WSH 22,3,,,3840
Arizona Cardinals,3823600 2521,3823600,55189,2521,3823600,2011-09-18,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,false,false,21,22,Cardinals,Redskins,ARI,WSH,3,438,7,10,1,10,90,90,RUSH,0.350077,-0.000530321,-0.019996,0.0757981,14,3,90,438,9,90,271,Touchdown,<a href="#" data-tmn-route-type="player" data-tmn-id="2222196">B. Wells</a> rushes up the middle for 5 yards. 4 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2131680">R. Doughty</a>.,,400298901,,68788,68788,9,90,271,Touchdown,true,,,,,,,,5,2011-09-18 (W2),ARI 21 @ WSH 22,3,,,3840
