entityName,DefendersInBox,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,8,4210090 781,4210090,57641,781,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,1,231,7,6,2,5,46,46,RUSH,0.628281,-0.00595132,2.28104,-0.452617,6,1,61,331,5,16,151,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 1yard. 2 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2266876"">M. Smith</a>.",,401030797,,75522,75522,5,16,151,Punt,true,,,,,,,,1,2018-10-07 (W5),ARI 28 @ SF 18,1,,,2587
Arizona Cardinals,8,4210090 1230,4210090,57641,1230,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,2,665,13,6,2,2,2,2,RUSH,0.727744,0.0396704,5.55165,0.835805,8,2,18,798,4,18,138,Touchdown,"Touchdown Arizona Cardinals - <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes outside the left tackle for 2 yards. 1 yards after contact. Touchdown <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a>.",,401030797,,76600,76600,4,18,138,Touchdown,true,,,,,,,,2,2018-10-07 (W5),ARI 28 @ SF 18,2,,,2587
Arizona Cardinals,8,4210090 1370,4210090,57641,1370,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,2,571,14,6,1,10,72,72,RUSH,0.805281,-0.00561408,1.12624,-0.438199,10,2,72,571,3,1,113,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the right guard for 0 yards. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2971275"">A. Armstead</a>. Assist by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2971282"">D. Buckner</a>.",,401030797,,77211,77211,3,1,113,Punt,true,,,,,,,,0,2018-10-07 (W5),ARI 28 @ SF 18,2,,,2587
Arizona Cardinals,8,4210090 2339,4210090,57641,2339,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,3,895,14,6,2,10,75,75,RUSH,0.813119,0.00365053,0.465228,-0.176802,15,3,75,900,3,7,117,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 4 yards. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2971282"">D. Buckner</a>.",,401030797,,79938,79938,3,7,117,Punt,true,,,,,,,,4,2018-10-07 (W5),ARI 28 @ SF 18,3,,,2587
Arizona Cardinals,8,4210090 3178,4210090,57641,3178,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,4,888,14,6,2,10,65,65,RUSH,0.867305,0.00302071,0.958787,-0.292167,19,4,65,892,5,23,135,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the left guard for 3 yards. 1 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3138826"">F. Warner</a>.",,401030797,,82196,82196,5,23,135,Punt,true,,,,,,,,3,2018-10-07 (W5),ARI 28 @ SF 18,4,,,2587
Arizona Cardinals,8,4210090 4083,4210090,57641,4083,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,4,228,21,12,1,10,26,26,RUSH,0.996733,-0.00216202,3.66427,-0.459801,24,4,26,228,5,26,27,Touchdown,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 1yard. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2217395"">E. Mitchell</a>.",,401030797,,84167,84167,5,26,27,Touchdown,true,,,,,,,,1,2018-10-07 (W5),ARI 28 @ SF 18,4,,,2587
Arizona Cardinals,8,4210090 4185,4210090,57641,4185,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,4,211,21,12,1,10,12,12,RUSH,0.999944,-0.000530498,4.279,0.157639,24,4,26,228,5,26,27,Touchdown,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 6 yards. 4 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2971275"">A. Armstead</a>.",,401030797,,84327,84327,5,26,27,Touchdown,true,,,,,,,,6,2018-10-07 (W5),ARI 28 @ SF 18,4,,,2587
Arizona Cardinals,8,4210090 4223,4210090,57641,4223,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,4,207,27,12,2,4,6,6,RUSH,0.999414,0.000528044,4.43664,2.366,24,4,26,228,5,26,27,Touchdown,"Touchdown Arizona Cardinals - <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 6 yards. 2 yards after contact. Touchdown <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a>.",,401030797,,84376,84376,5,26,27,Touchdown,true,,,,,,,,6,2018-10-07 (W5),ARI 28 @ SF 18,4,,,2587
Arizona Cardinals,8,4210035 892,4210035,57651,892,4210035,2018-10-14,6,,8801,Arizona Cardinals,ARIZONA,REG,,true,MINNESOTA,MIN,false,false,17,27,Cardinals,Vikings,ARI,MIN,1,123,3,10,1,10,75,75,RUSH,0.283233,-0.000619398,0.899317,-0.13565,7,1,75,123,3,-4,111,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 3 yards. 1 yards after contact.",,401030742,,63471,63471,3,-4,111,Punt,true,,,,,,,,3,2018-10-14 (W6),ARI 17 @ MIN 27,1,,,2587
Arizona Cardinals,8,4210035 1812,4210035,57651,1812,4210035,2018-10-14,6,,8801,Arizona Cardinals,ARIZONA,REG,,true,MINNESOTA,MIN,false,false,17,27,Cardinals,Vikings,ARI,MIN,2,96,10,10,2,12,99,99,RUSH,0.44474,0.00175475,-0.642105,-0.292742,14,2,97,102,3,8,22,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2312714"">D. Coleman</a> rushes towards the right guard for 2 yards. 0 yards after contact.",,401030742,,65999,65999,3,8,22,Punt,true,,,,,,,,2,2018-10-14 (W6),ARI 17 @ MIN 27,2,,,2587
