entityName,DefendersInBox,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,9,4210191 1760,4210191,57624,1760,4210191,2018-09-30,4,,8801,Arizona Cardinals,ARIZONA,REG,,true,SEATTLE,SEA,true,false,17,20,Cardinals,Seahawks,ARI,SEA,2,114,7,9,1,1,1,1,RUSH,0.568264,0.056483,4.71553,1.91548,10,2,58,324,6,58,212,Touchdown,"Touchdown Arizona Cardinals - <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the left guard for 1yard. 2 yards after contact. Touchdown <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a>.",,401030848,,76662,76662,6,58,212,Touchdown,true,,,,,,,,1,2018-09-30 (W4),SEA 20 @ ARI 17,2,,,369
Arizona Cardinals,9,4210035 1136,4210035,57651,1136,4210035,2018-10-14,6,,8801,Arizona Cardinals,ARIZONA,REG,,true,MINNESOTA,MIN,false,false,17,27,Cardinals,Vikings,ARI,MIN,2,732,3,10,3,1,1,1,PASS,0.402357,-0.0834702,5.2142,-1.88043,9,2,47,859,5,46,136,Downs,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3886377"">J. Rosen</a> pass incomplete (thrown 1 yard downfield to the far right) to <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3051806"">R. Seals-Jones</a>.",,401030742,,64178,64178,5,46,136,Downs,true,,,,,,,,0,2018-10-14 (W6),ARI 17 @ MIN 27,2,,,369
Arizona Cardinals,9,4210035 1158,4210035,57651,1158,4210035,2018-10-14,6,,8801,Arizona Cardinals,ARIZONA,REG,,true,MINNESOTA,MIN,false,false,17,27,Cardinals,Vikings,ARI,MIN,2,727,3,10,4,1,1,1,RUSH,0.318887,-0.0634254,3.33376,-2.95164,9,2,47,859,5,46,136,Downs,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 0 yards. 1 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2466032"">X. Rhodes</a>.",,401030742,,64218,64218,5,46,136,Downs,true,,,,,,,,0,2018-10-14 (W6),ARI 17 @ MIN 27,2,,,369
Arizona Cardinals,9,4210035 1774,4210035,57651,1774,4210035,2018-10-14,6,,8801,Arizona Cardinals,ARIZONA,REG,,true,MINNESOTA,MIN,false,false,17,27,Cardinals,Vikings,ARI,MIN,2,102,10,10,1,10,97,97,RUSH,0.464456,-0.0197168,-0.160023,-0.482083,14,2,97,102,3,8,22,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for -2 yards. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2510852"">A. Barr</a>.",,401030742,,65924,65924,3,8,22,Punt,true,,,,,,,,-2,2018-10-14 (W6),ARI 17 @ MIN 27,2,,,369
Arizona Cardinals,9,4210035 3491,4210035,57651,3491,4210035,2018-10-14,6,,8801,Arizona Cardinals,ARIZONA,REG,,true,MINNESOTA,MIN,false,false,17,27,Cardinals,Vikings,ARI,MIN,4,421,16,27,2,1,1,1,RUSH,0.0219858,-0.00516569,5.77665,0.688657,24,4,69,585,7,69,168,Touchdown,"Touchdown Arizona Cardinals - <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 1yard. 1 yards after contact. Touchdown <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a>.",,401030742,,70760,70760,7,69,168,Touchdown,true,,,,,,,,1,2018-10-14 (W6),ARI 17 @ MIN 27,4,,,369
Arizona Cardinals,9,4210235 1429,4210235,57747,1429,4210235,2018-12-02,13,,8801,Arizona Cardinals,ARIZONA,REG,,true,GREENBAY,GB,false,true,20,17,Cardinals,Packers,ARI,GB,2,311,0,7,1,8,8,8,RUSH,0.422169,0.0325295,4.98745,0.811958,8,2,75,689,11,75,407,Touchdown,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3119195"">C. Edmonds</a> rushes up the middle for 7 yards. 3 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2126900"">T. Williams</a>. Assist by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2978273"">B. Martinez</a>.",,401030965,,68621,68621,11,75,407,Touchdown,true,,,,,,,,7,2018-12-02 (W13),ARI 20 @ GB 17,2,,,369
Arizona Cardinals,9,4210182 506,4210182,57778,506,4210182,2018-12-16,15,,8801,Arizona Cardinals,ARIZONA,REG,,true,ATLANTA,ATL,false,false,14,40,Cardinals,Falcons,ARI,ATL,1,510,6,0,2,1,1,1,RUSH,0.684239,0.0347492,5.77604,0.689882,2,1,64,707,8,64,202,Touchdown,"Touchdown Arizona Cardinals - <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 1yard. 1 yards after contact. Touchdown <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a>.",,401030900,,66037,66037,8,64,202,Touchdown,true,,,,,,,,1,2018-12-16 (W15),ARI 14 @ ATL 40,1,,,369
Atlanta Falcons,9,4209989 235,4209989,57567,235,4209989,2018-09-06,1,,8802,Atlanta Falcons,ATLANTA,REG,,true,PHILADELPH,PHI,false,false,12,18,Falcons,Eagles,ATL,PHI,1,701,0,0,2,1,1,1,RUSH,0.636332,-0.0130667,5.77596,-0.575427,1,1,75,900,10,73,249,Downs,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2576783"">D. Freeman</a> rushes up the middle for 0 yards. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2468991"">F. Cox</a>. Assist by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3115336"">D. Barnett</a>.",,401030710,,4319,4319,10,73,249,Downs,true,,,,,,,,0,2018-09-06 (W1),ATL 12 @ PHI 18,1,,,369
Atlanta Falcons,9,4209989 278,4209989,57567,278,4209989,2018-09-06,1,,8802,Atlanta Falcons,ATLANTA,REG,,true,PHILADELPH,PHI,false,false,12,18,Falcons,Eagles,ATL,PHI,1,655,0,0,4,1,1,1,RUSH,0.559037,-0.0807276,3.31977,-2.97772,1,1,75,900,10,73,249,Downs,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2576783"">D. Freeman</a> rushes outside the left tackle for -1 yards. 0 yards after contact. Assist by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2514270"">J. Hicks</a>. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3050851"">K. Grugier-Hill</a>.",,401030710,,4399,4399,10,73,249,Downs,true,,,,,,,,-1,2018-09-06 (W1),ATL 12 @ PHI 18,1,,,369
Atlanta Falcons,9,4209990 3792,4209990,57584,3792,4209990,2018-09-16,2,,8802,Atlanta Falcons,ATLANTA,REG,,true,CAROLINA,CAR,true,true,31,24,Falcons,Panthers,ATL,CAR,4,128,24,31,3,1,66,66,RUSH,0.970556,-0.0319716,0.606095,-1.05323,20,4,75,140,3,9,32,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2979477"">T. Coleman</a> rushes up the middle for 0 yards. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2978313"">S. Thompson</a>.",,401030691,,71867,71867,3,9,32,Punt,true,,,,,,,,0,2018-09-16 (W2),CAR 24 @ ATL 31,4,,,369
